ip,City,Region,Country,Latitude,Longitude
117.154.97.0,Wuhan,Hubei,China,30.589,114.2681
120.239.220.0,Shenzhen,Guangdong,China,22.5431,114.058
120.229.97.0,Shenzhen,Guangdong,China,22.5559,114.0577
101.88.223.0,Shanghai,Shanghai,China,31.2222,121.4581
112.39.155.0,Shenyang,Liaoning,China,41.7806,123.4314
112.239.220.0,Weifang,Shandong,China,36.7069,119.162
61.158.146.0,Zhengzhou,Henan,China,34.7472,113.625
120.235.163.0,Guangzhou,Guangdong,China,23.1181,113.2539
39.154.149.0,Shenzhen,Guangdong,China,22.5431,114.058
120.239.29.0,Haicheng,Guangdong,China,22.9775,115.3354
111.17.183.0,Weifang,Shandong,China,36.7069,119.162
39.186.133.0,Hangzhou,Zhejiang,China,30.2741,120.155
117.136.79.0,Guangzhou,Guangdong,China,23.1181,113.2539
223.104.238.0,Shenzhen,Guangdong,China,22.5431,114.058
119.116.97.0,Jiupu,Liaoning,China,41.0667,122.95
111.0.233.0,Hangzhou,Zhejiang,China,30.2994,120.1612
106.119.201.0,Tangshan,Hebei,China,39.6333,118.1852
123.164.182.0,Harbin,Heilongjiang,China,45.7421,126.663
171.213.72.0,Nanchong,Sichuan,China,30.7927,106.0988
112.80.234.0,Nanjing,Jiangsu,China,32.0128,118.727
59.41.166.0,Guangzhou,Guangdong,China,23.1181,113.2539
220.205.225.0,Hefei,Anhui,China,31.8564,117.2661
182.150.117.0,Zhongba,Sichuan,China,30.2638,102.805
42.234.176.0,Anyang,Henan,China,36.0986,114.4102
223.73.84.0,Foshan,Guangdong,China,23.0261,113.1371
223.64.66.0,Suzhou,Jiangsu,China,31.3093,120.602
101.29.27.0,Shijiazhuang,Hebei,China,38.0428,114.515
39.144.210.0,Lanzhou,Gansu,China,36.0647,103.8397
111.198.66.0,Laiguangying,Beijing,China,40.025,116.434
27.43.120.0,Shenzhen,Guangdong,China,22.5431,114.058
183.185.75.0,Taiyuan,Shanxi,China,37.8706,112.549
223.104.93.0,Nanning,Guangxi,China,22.8111,108.3168
114.96.47.0,Rongcheng,Anhui,China,30.6007,117.925
114.100.0.0,Guangzhou,Guangdong,China,23.1181,113.2539
180.125.228.0,Xuzhou,Jiangsu,China,34.1823,117.1519
114.233.84.0,Nanjing,Jiangsu,China,32.0607,118.763
117.188.98.0,Shenzhen,Guangdong,China,22.5431,114.058
112.84.26.0,Xuzhou,Jiangsu,China,34.2058,117.284
119.108.47.0,Shenyang,Liaoning,China,41.8057,123.431
120.225.111.0,Weifang,Shandong,China,36.7069,119.162
113.140.251.0,Xi'an,Shaanxi,China,34.3287,109.0337
42.234.59.0,Jiaozuo,Henan,China,35.2417,113.2339
182.151.6.0,Chengdu,Sichuan,China,30.6498,104.0555
39.144.97.0,Yangquan,Shanxi,China,37.8621,113.562
123.7.198.0,Zhengzhou,Henan,China,34.7472,113.625
39.168.203.0,Jiujiang,Jiangxi,China,29.7151,115.9916
115.60.41.0,Zhengzhou,Henan,China,34.7599,113.6459
182.118.235.0,Xinyang,Henan,China,32.1228,114.066
106.52.67.0,Shenzhen,Guangdong,China,22.5431,114.058
117.179.24.0,Harbin,Heilongjiang,China,45.7567,126.642
221.192.178.0,Langfang,Hebei,China,39.538,116.684
223.104.67.0,Guangzhou,Guangdong,China,23.1181,113.2539
42.80.109.0,Beijing,Beijing,China,39.911,116.395
223.104.213.0,Shanghai,Shanghai,China,31.2222,121.4581
110.176.2.0,Taiyuan,Shanxi,China,37.8389,112.564
223.13.11.0,Fengcheng,Shanxi,China,37.2426,111.857
